,year,mad,prop
0,1915,32.6172,0.0
1,1916,53.373599999999996,0.13333333333333333
2,1917,33.3585,0.0
3,1918,8.1543,0.0
4,1919,40.0302,0.2
5,1920,5.9304,0.0
6,1921,54.856199999999994,0.14285714285714285
7,1922,34.099799999999995,0.0
8,1923,31.1346,0.0
9,1924,35.5824,0.09090909090909091
10,1925,14.0847,0.25
11,1926,32.6172,0.09090909090909091
12,1927,32.6172,0.125
13,1928,23.7216,0.0
14,1929,29.651999999999997,0.0
15,1930,11.8608,0.0
16,1931,51.891,0.23076923076923078
17,1932,28.1694,0.13333333333333333
18,1933,44.477999999999994,0.1
19,1934,38.547599999999996,0.07692307692307693
20,1935,46.701899999999995,0.25
21,1936,29.651999999999997,0.058823529411764705
22,1937,19.273799999999998,0.0
23,1938,45.9606,0.2222222222222222
24,1939,48.1845,0.0
25,1940,48.925799999999995,0.1111111111111111
26,1941,9.636899999999999,0.0
27,1942,35.5824,0.09090909090909091
28,1943,31.875899999999998,0.0
29,1944,40.0302,0.07142857142857142
30,1945,20.7564,0.0
31,1946,34.099799999999995,0.14285714285714285
32,1947,36.323699999999995,0.0
33,1948,17.049899999999997,0.2
34,1949,20.7564,0.09090909090909091
35,1950,40.0302,0.043478260869565216
36,1951,48.925799999999995,0.23809523809523808
37,1952,36.323699999999995,0.16666666666666666
38,1953,25.9455,0.16666666666666666
39,1954,44.477999999999994,0.1111111111111111
40,1955,38.547599999999996,0.0
41,1956,60.7866,0.17391304347826086
42,1957,22.238999999999997,0.047619047619047616
43,1958,42.9954,0.04
44,1959,47.4432,0.034482758620689655
45,1960,38.547599999999996,0.0
46,1961,54.856199999999994,0.19047619047619047
47,1962,25.9455,0.0
48,1963,34.099799999999995,0.0
49,1964,34.099799999999995,0.058823529411764705
50,1965,40.0302,0.0
51,1966,34.099799999999995,0.041666666666666664
52,1967,45.9606,0.0
53,1968,40.0302,0.029411764705882353
54,1969,32.6172,0.07692307692307693
55,1970,38.547599999999996,0.07894736842105263
56,1971,33.3585,0.075
57,1972,41.5128,0.12121212121212122
58,1973,53.373599999999996,0.10344827586206896
59,1974,45.2193,0.05263157894736842
60,1975,49.6671,0.1
61,1976,45.2193,0.027777777777777776
62,1977,31.1346,0.043478260869565216
63,1978,40.0302,0.06976744186046512
64,1979,60.0453,0.1
65,1980,45.2193,0.09375
66,1981,53.373599999999996,0.16216216216216217
67,1982,42.9954,0.06451612903225806
68,1983,48.925799999999995,0.1111111111111111
69,1984,38.547599999999996,0.14634146341463414
70,1985,47.4432,0.05405405405405406
71,1986,40.0302,0.07407407407407407
72,1987,33.3585,0.058823529411764705
73,1988,35.5824,0.04878048780487805
74,1989,45.9606,0.05128205128205128
75,1990,47.4432,0.04878048780487805
76,1991,51.891,0.07142857142857142
77,1992,48.925799999999995,0.1
78,1993,41.5128,0.03571428571428571
79,1994,46.701899999999995,0.058823529411764705
80,1995,34.099799999999995,0.03125
81,1996,57.080099999999995,0.15384615384615385
82,1997,53.373599999999996,0.09090909090909091
83,1998,35.5824,0.03333333333333333
84,1999,40.771499999999996,0.03333333333333333
85,2000,41.5128,0.05
86,2001,36.323699999999995,0.1111111111111111
87,2002,29.651999999999997,0.06060606060606061
88,2003,51.891,0.10526315789473684
89,2004,31.1346,0.06060606060606061
90,2005,47.4432,0.10416666666666667
91,2006,44.477999999999994,0.11428571428571428
92,2007,42.9954,0.15625
93,2008,57.080099999999995,0.1111111111111111
94,2009,32.6172,0.058823529411764705
95,2010,40.771499999999996,0.058823529411764705
96,2011,38.547599999999996,0.06060606060606061
97,2012,56.3388,0.1111111111111111
98,2013,50.4084,0.1388888888888889
99,2014,48.1845,0.03125
100,2015,48.1845,0.17647058823529413
101,2016,48.1845,0.13157894736842105
